Pañstwo;A;B;C;D
Szwecja;Sztokholm;Zagrzeb;Rejkiawik;Watykan
Islandia;Rejkiawik;Ankara;Wilno;Watykan
Malta;Nikozja;Valletta;Belgrad;Miñsk
Norwegia;Tirana;Amsterdam;Ankara;Oslo
Polska;Budapeszt;Lizbona;Bratys³awa;Warszawa
Belgia;Bruksela;Londyn;Kiszyniów;Lizbona
Dania;Luksemburg;Sofia;Kopenhaga;Sarajewo
San Marino;San Marino;Lizbona;Podgorica;Rzym
San Marino;San Marino;Lizbona;Podgorica;Rzym
San Marino;San Marino;Lizbona;Podgorica;Rzym
Belgia;Bruksela;Londyn;Kiszyniów;Lizbona
Belgia;Bruksela;Londyn;Kiszyniów;Lizbona
